書名,書籍網址,作者,出版社,ISBN,圖片網址
最專業的語音辨識全書: 使用深度學習實作,https://www.eslite.com/product/1001313432774010,柳若邊,深智數位股份有限公司,9789869772679,https://s.eslite.dev/Upload/Product/201907/l/636976589910990130.jpg
AI語音辨識: 用Kaldi實作應用全集,https://www.eslite.com/product/1001313432873986,陳果果/ 都家宇/ 那興宇/ 張俊博,深智數位股份有限公司,9789865501525,https://s.eslite.dev/upload/product/l/2681921058004/20200911041816010560.jpg
聽障兒童圖片式語音辨識能力測驗指導手冊 (附施測光碟),https://www.eslite.com/product/1001257522808472,張秀雯/ 編制,華騰文化股份有限公司,9789864471362,https://s.eslite.dev/upload/product/l/2681827320007/20191114032722673056.jpg
AIoT實作好好玩: 使用micro:bit、MIT App Inventor、語音辨識及影像辨識 (附MOSME行動學習一點通),https://www.eslite.com/product/1001122412681996406007,國立臺灣師範大學許庭嘉教授團隊,台科大圖書股份有限公司,9789865231392,https://s.eslite.dev/upload/product/l/2681996406007/20210327033553321517.jpg
人工智慧導論,https://www.eslite.com/product/1001295152873372,謝邦昌/ 蘇志雄,方集出版社股份有限公司,9789864712977,https://s.eslite.dev/upload/product/l/2681919728001/20200908033310977992.jpg
AI之書: 圖解人工智慧發展史,https://www.eslite.com/product/1001110932862633,柯利弗德．皮寇弗,時報文化出版企業股份有限公司,9789571382975,https://s.eslite.dev/Upload/Product/202008/l/637333362821022500.jpg
洋蔥式閱讀! 當代關鍵議題系列: AI可不可以當總統或法官? 機器人要不要繳稅? 思辨人類與人工智慧該如何共生,https://www.eslite.com/product/1001130572835603,馬修．泰勒/ 范雪萊,臉譜出版社,9789862358252,https://s.eslite.dev/Upload/Product/202004/l/637220179263761250.jpg
"全面了解人工智慧: 從基本機制到應用例, 以及人工智慧的未來",https://www.eslite.com/product/1001128592818452,日本Newton Press,人人出版股份有限公司,9789864612055,https://s.eslite.dev/Upload/Product/202001/l/637146739912263750.jpg
社交哈啦英語通 (影音下載版),https://www.eslite.com/product/1001124912816462,,希伯崙股份有限公司,9789864413492,https://s.eslite.dev/Upload/Product/202001/l/637135508212243750.jpg
中文自然語言處理實戰: 聊天機器人與深度學習整合應用,https://www.eslite.com/product/1001120322774002,王昊奮/ 邵浩/ 等,博碩文化股份有限公司,9789864344055,https://s.eslite.dev/Upload/Product/201907/l/636978466508405000.jpg
CV+深度學習: AI最完整的跨套件Python人工智慧電腦視覺,https://www.eslite.com/product/1001313432773998,繆鵬,深智數位股份有限公司,9789869772686,https://s.eslite.dev/Upload/Product/201907/l/636976589787676531.jpg
動物英語村 (典藏版/6冊合售),https://www.eslite.com/product/1003304652765058,目川文化編輯部,目川文化數位股份有限公司,9789869132961,https://s.eslite.dev/Upload/Product/201905/l/636940246969272409.jpg
AI創世紀: 即將來臨的超級人工智慧時代,https://www.eslite.com/product/1001144582719516,埃米爾．侯賽因,寶鼎出版社,9789862487549,https://s.eslite.dev/Upload/Product/201810/l/636754486925468750.jpg
AI視覺大全: 用最好用的PyTorch實作,https://www.eslite.com/product/1001301192716437,唐進民,佳魁數位,9789863796978,https://s.eslite.dev/Upload/Product/201810/l/636740658308266410.jpg
春天逃城,https://www.eslite.com/product/1001307992716841,阿鏡,阿鏡,9789574359493,https://s.eslite.dev/Upload/Product/201810/l/636741522912673750.jpg
實戰ROS機器人自作: 使用Raspberry Pi,https://www.eslite.com/product/1001113692703163,上田隆一,碁峰資訊股份有限公司,9789864768479,https://s.eslite.dev/Upload/Product/201808/l/636699188594275000.jpg
智能革命新商機: 掌握AR、VR、AI、IW正在顛覆每個行業的科技狂潮 (全彩實戰篇),https://www.eslite.com/product/1001183772670528,趙亞洲,好優文化,9789869625814,https://s.eslite.dev/upload/product/l/2681570450006/776144.jpg
用TensorFlow提早進入人工智慧的未來世界,https://www.eslite.com/product/1001301192632838,李嘉璇,佳魁數位,9789863795889,https://s.eslite.dev/Upload/Product/201710/l/636447767475785476.jpg
Python+Spark 2.0+Hadoop機器學習與大數據分析實戰,https://www.eslite.com/product/1001120322543926,林大貴,博碩文化股份有限公司,9789864341535,https://s.eslite.dev/upload/product/l/2681379288008/ec1190815.jpg
國中英聽實力養成保證班 (附MP3),https://www.eslite.com/product/1001139212335196,蘇秦,統一出版社有限公司,9789866371639,https://s.eslite.dev/Upload/Product/201406/l/635385906553115473.jpg
國中英聽得分王 (附MP3),https://www.eslite.com/product/1003116692274066,蘇秦,書林出版有限公司,9789574455560,https://s.eslite.dev/Upload/Product/201310/l/635164723337837500.jpg
日語能力通: 中級篇 (8CD),https://www.eslite.com/product/1004115372170207,,沙鷗國際股份有限公司,4715320907347,https://s.eslite.dev/upload/product/l/2680713859003/176561.jpg
日語能力通: 初級篇 (8CD),https://www.eslite.com/product/1004115372170208,,沙鷗國際股份有限公司,4715320907330,https://s.eslite.dev/upload/product/l/2680713860009/176560.jpg
日語能力通: 高級篇 (8CD),https://www.eslite.com/product/1004115372170209,,沙鷗國際股份有限公司,4715320907354,https://s.eslite.dev/upload/product/l/2680713861006/176559.jpg
iPhone 4S+iOS5進階活用徹底上手,https://www.eslite.com/product/1001243422105792,鄭思豪 (鄭蛋蛋),流行風,4717702078171,https://s.eslite.dev/Upload/Product/201202/l/634645459044051250.jpg
iPhone 4S強攻上手+ iOS 5技巧200+,https://www.eslite.com/product/1001243422095386,手機GoGo粉絲團,流行風,4717702077952,https://s.eslite.dev/upload/product/l/2680640767006/125549.jpg
