書名,書籍網址,作者,出版社,ISBN,圖片網址
Ｒ語言資料分析: 從機器學習、資料探勘、文字探勘到巨量資料分析 (第2版),https://www.eslite.com/product/1001120322596528,李仁鐘/ 李秋緣,博碩文化股份有限公司,9789864342129,https://s.eslite.dev/upload/product/l/2681460965009/ec1299140.jpg
資料探勘理論與應用: 以IBM SPSS Modeler為範例 (附CD),https://www.eslite.com/product/1001120322105159,廖述賢/ 溫志皓,博碩文化股份有限公司,9789862015483,https://s.eslite.dev/upload/product/l/2680650485006/129760.jpg
資料探勘在社會工作的運用: 實務與研究的整合,https://www.eslite.com/product/1001130482540165,田麗珠/ 審閱; 劉瓊瑛,雙葉書廊有限公司,9789865668600,https://s.eslite.dev/Upload/Product/201609/l/636094386467443750.jpg
社群網站的資料探勘 (第3版),https://www.eslite.com/product/1001133102869139,Matthew A. Russell/ Mikhail Klassen,美商歐萊禮股份有限公司台灣分公司,9789865026035,https://s.eslite.dev/upload/product/l/2681913732004/20200825035512287651.jpg
大數據: 資料探勘X智慧營運,https://www.eslite.com/product/1001304262871453,梁棟/ 張兆靜/ 彭木根,崧燁文化事業有限公司,9789577359926,https://s.eslite.dev/upload/product/l/2681916595002/20200829041139361261.jpg
資料探勘原理與技術 (第2版),https://www.eslite.com/product/1001116712801157,張云濤/ 龔玲; 胡凱智/ 校訂,五南圖書出版股份有限公司,9789577636355,https://s.eslite.dev/upload/product/l/2681816612007/20191009043245856168.jpg
資料探勘: 人工智慧與機器學習發展以SPSS Modeler為範例,https://www.eslite.com/product/1001120322742259,廖述賢/ 溫志皓,博碩文化股份有限公司,9789864343676,https://s.eslite.dev/Upload/Product/201901/l/636840883377513750.jpg
R語言資料分析: 從機器學習、資料探勘、文字探勘到巨量資料分析 (第3版),https://www.eslite.com/product/1001120322740652,李仁鐘/ 李秋緣,博碩文化股份有限公司,9789864343669,https://s.eslite.dev/Upload/Product/201901/l/636833970724280000.jpg
資料探勘: 程序與模式 使用Excel實作,https://www.eslite.com/product/1001116712617999,葉怡成,五南圖書出版股份有限公司,9789571191966,https://s.eslite.dev/upload/product/l/2681493033003/711943.jpg
公職考試2021試題大補帖: 資料結構含資料結構與資料庫及資料探勘 (101-109年試題/申論題型/三等考試),https://www.eslite.com/product/1001127572682012461000,百官網公職師資群,大碩教育股份有限公司,9789865479152,https://s.eslite.dev/upload/product/l/2682012461000/20210504062725499842.jpg
社群網站資料探勘: 看數字說故事、不用拔草也能測風向,https://www.eslite.com/product/1001113692857651,Lam Thuy Vo,碁峰資訊股份有限公司,9789865025588,https://s.eslite.dev/Upload/Product/202007/l/637304853104473750.jpg
公職考試2020試題大補帖: 資料結構含資料結構與資料庫及資料探勘 (101-108年試題/申論題型),https://www.eslite.com/product/1001127572840253,百官網公職師資群,大碩教育股份有限公司,9789863457923,https://s.eslite.dev/upload/product/l/2681873378007/20200418061549976012.jpg
資料探勘（附光碟）,https://www.eslite.com/product/1001117651274115,,台灣東華書局股份有限公司,9789867594013,https://s.eslite.dev/upload/product/l/2611332690005/ec55639.jpg
資料探勘,https://www.eslite.com/product/1001181861495022,丁一賢,滄海書局,,0
多元公共運輸數據分析與科技應用之研究 (109年),https://www.eslite.com/product/1001182882868415,張恩輔/ 鍾志成/ 王晉元/ 盧宗成/ 林良泰/ 蘇昭銘/ 胡仲瑋/ 張和盛/ 林冠宇/ 王德瀛/ 吳東凌/ 陳翔捷,交通部運輸研究所,9789865311605,https://s.eslite.dev/upload/product/l/2681912952007/20200821042719126832.jpg
