書名,書籍網址,作者,出版社,ISBN,圖片網址
圖解演算法: 每個人都要懂一點演算法與資料結構,https://www.eslite.com/product/1001113692812826,魏夢舒 (@程序員小灰),碁峰資訊股份有限公司,9789865023461,https://s.eslite.dev/Upload/Product/201912/l/637117365034085000.jpg
JavaScript資料結構及演算法實作 (暢銷回饋版),https://www.eslite.com/product/1001120322727526,Loiane Groner,博碩文化股份有限公司,9789864343522,https://s.eslite.dev/Upload/Product/201811/l/636780404595347500.jpg
資料結構: 使用C++ (第4版),https://www.eslite.com/product/1001113692639219,蔡明志,碁峰資訊股份有限公司,9789864765973,https://s.eslite.dev/Upload/Product/201711/l/636471960385575830.jpg
資料結構: 使用 C (第4版),https://www.eslite.com/product/1001113692635027,蔡明志,碁峰資訊股份有限公司,9789864765799,https://s.eslite.dev/Upload/Product/201711/l/636456608716372500.jpg
演算法之美: 隱藏在資料結構背後的原理 (C++版),https://www.eslite.com/product/1001120322627314,左飛,博碩文化股份有限公司,9789864342488,https://s.eslite.dev/Upload/Product/201709/l/636423853949896334.jpg
資料結構: 使用Python,https://www.eslite.com/product/1001113692599022,蔡明志,碁峰資訊股份有限公司,9789864764242,https://s.eslite.dev/Upload/Product/201706/l/636332853474965672.jpg
資料結構: 使用Java (第4版),https://www.eslite.com/product/1001113692600559,蔡明志,碁峰資訊股份有限公司,9789864764259,https://s.eslite.dev/Upload/Product/201706/l/636332853479341876.jpg
動畫圖解資料結構: 使用C++ (第3版/附光碟),https://www.eslite.com/product/1001299212590352,李春雄,上奇資訊,9789869471138,https://s.eslite.dev/Upload/Product/201705/l/636293971570255000.jpg
JavaScript資料結構及演算法實作,https://www.eslite.com/product/1001120322505986,Loiane Groner,博碩文化股份有限公司,9789864341085,https://s.eslite.dev/upload/product/l/2681309272008/566915.jpg
資料結構: C語言實作 (第3版),https://www.eslite.com/product/1001113692413574,陳惠貞,碁峰資訊股份有限公司,9789863475729,https://s.eslite.dev/upload/product/l/2681044748004/475785.jpg
資料結構: 使用Python (第2版),https://www.eslite.com/product/1001113692682042901002,蔡明志,碁峰資訊股份有限公司,9789865028756,https://s.eslite.dev/upload/product/l/2682042901002/20210710135457131596.jpg
資料結構: 使用C語言 (第6版/附範例光碟),https://www.eslite.com/product/1001122982681952013003,蔡明志,全華圖書股份有限公司,9789865035068,https://s.eslite.dev/upload/product/l/2681952013003/20201205040852768276.jpg
資料結構 in C,https://www.eslite.com/product/1001184941842534,李銘城,藍海文化事業股份有限公司,9789868417816,https://s.eslite.dev/Upload/Product/200904/l/633754870161489945.jpg
資料結構 in C++實作 (附光碟),https://www.eslite.com/product/1001184941842535,羅文祺,藍海文化事業股份有限公司,9789868417823,https://s.eslite.dev/Upload/Product/200904/l/633754870302888050.jpg
資料結構 in C實作 (附光碟),https://www.eslite.com/product/1001184941842536,羅文祺,藍海文化事業股份有限公司,9789868417847,https://s.eslite.dev/Upload/Product/200904/l/633754870461472665.jpg
資料結構理論與實務: 以C語言實作 (附CD/第2版),https://www.eslite.com/product/1001124691669777,陳會安/ 李淑玲/ Zaky/ 劉宇軒,學貫行銷股份有限公司,9789867198716,0
資料結構理論與實務: 以Java 2語言實作 (附光碟),https://www.eslite.com/product/1001124691823077,陳會安,學貫行銷股份有限公司,9789867693808,0
公職考試2020試題大補帖: 資料結構含資料結構與資料庫及資料探勘 (101-108年試題/申論題型),https://www.eslite.com/product/1001127572840253,百官網公職師資群,大碩教育股份有限公司,9789863457923,https://s.eslite.dev/upload/product/l/2681873378007/20200418061549976012.jpg
資料結構初學指引: 入門精要版 (第3版),https://www.eslite.com/product/1001120322825756,,博碩文化股份有限公司,9789864344673,https://s.eslite.dev/Upload/Product/202002/l/637175251465163750.jpg
資料結構: 使用Java,https://www.eslite.com/product/1001248272814100,李淑馨,深石數位科技股份有限公司,9789865004422,https://s.eslite.dev/Upload/Product/202001/l/637140690605398750.jpg
圖解資料結構: 使用C語言 (第4版),https://www.eslite.com/product/1001120322810600,胡昭民,博碩文化股份有限公司,9789864344451,https://s.eslite.dev/Upload/Product/201912/l/637110451987625000.jpg
圖解資料結構: 使用Python (第2版),https://www.eslite.com/product/1001120322810599,吳燦銘,博碩文化股份有限公司,9789864344499,https://s.eslite.dev/Upload/Product/201911/l/637105268226397500.jpg
資料結構使用C,https://www.eslite.com/product/1001248272790098,李淑馨,深石數位科技股份有限公司,9789865004125,https://s.eslite.dev/Upload/Product/201909/l/637031828370790000.jpg
資料結構: 使用Visual C＃,https://www.eslite.com/product/1001248272790099,李淑馨,深石數位科技股份有限公司,9789865004132,https://s.eslite.dev/Upload/Product/201909/l/637031828381727500.jpg
動畫圖解資料結構: 使用Python (附光碟),https://www.eslite.com/product/1001248272782392,李春雄,深石數位科技股份有限公司,9789865004057,https://s.eslite.dev/Upload/Product/201907/l/636999860244746250.jpg
資料結構使用Python,https://www.eslite.com/product/1001248272734818,李淑馨,深石數位科技股份有限公司,9789865003449,https://s.eslite.dev/Upload/Product/201812/l/636810643413087500.jpg
