書名,書籍網址,作者,出版社,ISBN,圖片網址
Flash 8 徹底研究: 遊戲設計 (附DVD),https://www.eslite.com/product/1001154611556759,吳佳諺,成大資訊有限公司,4711174045587,0
KODU遊戲設計程式開發輕鬆玩,https://www.eslite.com/product/1001299212877009,陳美琪,上奇資訊,9789865004910,https://s.eslite.dev/upload/product/l/2681925296006/20200925041818619937.jpg
遊戲設計與電競運動概論,https://www.eslite.com/product/1001120322871525,胡昭民/ 吳燦銘,博碩文化股份有限公司,9789864345120,https://s.eslite.dev/upload/product/l/2681916672000/20200829041306765336.jpg
幼兒科學遊戲設計 (第2版),https://www.eslite.com/product/1001324482867628,陳雅鈴/ 黃麗鳳/ 主編,國立屏東大學,9789869910477,https://s.eslite.dev/upload/product/l/2681911940005/20200819034731177769.jpg
Scratch 3.0多媒體遊戲設計&Tello無人機,https://www.eslite.com/product/1001113692837678,林文恭/ 吳進北,碁峰資訊股份有限公司,9789865024604,https://s.eslite.dev/Upload/Product/202004/l/637220180358292500.jpg
Unity 3D遊戲設計實戰 (第3版),https://www.eslite.com/product/1001113692804744,邱勇標,碁峰資訊股份有限公司,9789865023058,https://s.eslite.dev/Upload/Product/201910/l/637081077428747500.jpg
進階遊戲設計: 系統性的遊戲設計方法,https://www.eslite.com/product/1001113692793285,Michael Sellers,碁峰資訊股份有限公司,9789865022525,https://s.eslite.dev/Upload/Product/201909/l/637042194706205000.jpg
Unity遊戲設計育成攻略,https://www.eslite.com/product/1001113882768184,北村愛実,旗標科技股份有限公司,9789863125822,https://s.eslite.dev/Upload/Product/201905/l/636948019964286250.jpg
遊戲設計概論,https://www.eslite.com/product/1001304262761894,張娜/ 主編; 左宏/ 薑楠/ 副主編,崧燁文化事業有限公司,9789577357656,https://s.eslite.dev/upload/product/l/2681755429001/ec1755659.jpg
Scratch多媒體遊戲設計&Tello無人機,https://www.eslite.com/product/1001113692724561,林文恭/ 吳進北,碁峰資訊股份有限公司,9789864769544,https://s.eslite.dev/Upload/Product/201811/l/636768308617445000.jpg
寓教於樂 知識主題桌上遊戲設計 (附118人力銀行桌遊包),https://www.eslite.com/product/1001122412696415,侯惠澤/ 臺灣科大NTUST MEG教育桌遊設計小組,台科大圖書股份有限公司,9789864556991,https://s.eslite.dev/upload/product/l/2681610748001/805218.jpg
3D遊戲設計全攻略: 遊戲機制×關卡設計×鏡頭訣竅,https://www.eslite.com/product/1001120322551317,大野功二,博碩文化股份有限公司,9789864341580,https://s.eslite.dev/Upload/Product/201611/l/636142772330566250.jpg
Unity 3D遊戲設計範例講堂: 人氣遊戲這樣做! (第2版),https://www.eslite.com/product/1001113882528356,賴祐吉/ 姚智原/ 陳國瑋,旗標科技股份有限公司,9789863123552,https://s.eslite.dev/Upload/Product/201607/l/636052916307001250.jpg
遊戲設計的有趣理論 (第2版),https://www.eslite.com/product/1001133102519180,拉夫．柯斯特,美商歐萊禮股份有限公司台灣分公司,9789863475156,https://s.eslite.dev/Upload/Product/201606/l/636027205348582500.jpg
Unity 3D遊戲設計範例講堂: 人氣遊戲這樣做!,https://www.eslite.com/product/1001113882371673,賴祐吉/ 姚智原,旗標科技股份有限公司,9789863122111,https://s.eslite.dev/Upload/Product/201410/l/635501683251753750.jpg
Flash CS6數位遊戲實戰技: 從滑鼠、鍵盤到觸控的多款遊戲設計,https://www.eslite.com/product/1001113692171097,李篤易,碁峰資訊股份有限公司,9789862765913,https://s.eslite.dev/Upload/Product/201209/l/634830361576785000.jpg
大師級! Flash遊戲設計創意發想與經典入門: 適用Flash CS6/CS5/CS4 & ActionScript 3.0,https://www.eslite.com/product/1001113692161117,李篤易,碁峰資訊股份有限公司,9789862765333,https://s.eslite.dev/Upload/Product/201208/l/634794931676676250.jpg
遊戲設計概論 (第3版),https://www.eslite.com/product/1001120322145351,胡昭民/ 吳燦銘,博碩文化股份有限公司,9789862015827,https://s.eslite.dev/upload/product/l/2680689127007/154624.jpg
遊戲設計概論 (第2版),https://www.eslite.com/product/1001120321956188,胡昭民/ 吳燦銘,博碩文化股份有限公司,9789575279882,https://s.eslite.dev/Upload/Product/201007/l/634137430067360000.jpg
"Scratch超人氣遊戲大改造: 動腦想、動手玩, 讓程式與遊戲設計都變有趣!",https://www.eslite.com/product/1001113692682069650006,Asobism,碁峰資訊股份有限公司,9789865028770,https://s.eslite.dev/upload/product/l/2682069650006/20210910033917237694.jpg
極度巔峰Adobe Substance 3D: 遊戲設計3D建模技術實戰,https://www.eslite.com/product/1001248272682022712000,白乃遠/ 陳冠鵬/ 黃文興,深石數位科技股份有限公司,9789865005290,https://s.eslite.dev/upload/product/l/2682022712000/20210525060314207932.jpg
"遊戲設計的藝術: 架構世界、開發介面、創造體驗, 聚焦遊戲設計與製作的手法與原理",https://www.eslite.com/product/1001236652682010635007,傑西．謝爾,大家,9789865562076,https://s.eslite.dev/upload/product/l/2682010635007/20210508064125662143.jpg
Flag's 旗標創客．自造者工作坊: Unity X遊戲手把 虛實整合互動遊戲設計,https://www.eslite.com/product/1001113882681939840004,施威銘研究室,旗標科技股份有限公司,,https://s.eslite.dev/upload/product/l/2681939840004/20201117035337903609.jpg
Scratch 3.0動畫遊戲設計,https://www.eslite.com/product/1001120322681934608005,鄭苑鳳,博碩文化股份有限公司,9789864345281,https://s.eslite.dev/upload/product/l/2681934608005/20201030040951299402.jpg
Flag's 創客．自造者工作坊 Python程式遊戲設計: 雷切外殼復古街機,https://www.eslite.com/product/1001113882849843,施威銘研究室,旗標科技股份有限公司,4712946750791,https://s.eslite.dev/upload/product/l/2681886438002/20200602040714773957.jpg
"遊戲思維: 像熱門遊戲的設計開發一樣, 讓玩家深度參與你的產品創新",https://www.eslite.com/product/1001113692752011,Amy Jo Kim,碁峰資訊股份有限公司,9789865020781,https://s.eslite.dev/upload/product/l/2681739286002/ec1715855.jpg
Python輕鬆學: 遊戲設計初體驗 (暢銷回饋版),https://www.eslite.com/product/1001120322733372,Craig Richardson,博碩文化股份有限公司,9789864343621,https://s.eslite.dev/upload/product/l/2681696403009/ec1620093.jpg
