ISBN,書籍簡介
4711174045587,0
9789865004910,本書架構先介紹Kodu環境與各項操作技巧，再以完整小遊戲讓學習者了解完整的遊戲設計過程，接著學會場景的建置、角色物件的編輯、路徑的應用、世界的變更，以及程式指令的應用。最後再以多個遊戲範例做解說，讓初次接觸程式語言的讀者，也能透過遊戲規則的訂定，從實作中自行發現問題並解決問題，加強邏輯思考的能力。※請至深石數位網站下載範例檔案http://www.grandtech.info
9789864345120,"從產業經濟面的發展趨勢來分析，遊戲產業近年來的表現相當亮眼，市場規模足以和影視娛樂產業並驅。其中的電子競技遊戲更是風靡全球，全新的娛樂型態讓每個遊戲都有死忠鐵粉，無不好奇競相加入，然而玩家們必須要知道的前提是，遊戲本身才是電競賽事的真正靈魂，即使是戰功彪炳的電競高手，除了快手和快腦外，若能洞悉遊戲中各式複雜的關卡與眉角間的設計，必定能如虎添翼地增加打怪過關的勝率。 這是一本提供入門者進入遊戲設計與電競領域的實用教材，內容理論與實務並重，章節編排除了介紹遊戲開發過程中的各種工具，及許多開發成品的展示外，還包含從遊戲類型到產業的說明、遊戲設計鋪陳方式解析、遊戲開發工具、2D、3D、數學、物理現象模擬、遊戲團隊組成藍圖…等主題，這次改版也將電競導論及工具納入，並探討大數據與遊戲行銷關聯性等議題。 ★本書特色★ 【內容全面】循序漸進介紹遊戲類型、產業認識、設計技術、開發工具、2D/3D模擬等 【議題分析】分享遊戲耐玩度設計、電競集客行銷、電競硬體採購攻略 【實務應用】AI演算法祕笈、電競高手的贏家之路、遊戲引擎的祕密 【學習評量】精心設計章末習題，相關專題、驗收教學成果"
9789869910477,幼兒科學遊戲設計，內容包含科學遊戲內容、教學引導策略，學習單及夏令營設計。
9789865024604,★適用商業與管理群-多元選修及彈性課程★ ★Scratch!! 不只是程式設計工具，更是遊戲設計軟體★ 以Scratch為工具介紹遊戲設計 結合TELLO無人機讓學習樂趣飛上天 Scratch 由MIT（麻省理工學院）設計，是學習程式設計入門的工具，介面操作100%圖像式，採用LEGO（樂高）組合方式作程式設計，傳統的指令轉化為如同樂高一樣的積木元件，將不同功能的元件組合在一起就可完成程式設計。 本書以Scratch為工具介紹遊戲設計，並使用Scratch模擬Tello無人機進行物流配送。 ★快樂學習程式設計，直覺式積木拖拉堆疊，「做中學」程式邏輯概念。 ★一課一專案的設計，一課即能完成一個獨立的遊戲成品，引發學生學習樂趣。讓學生對程式設計不再懼怕。 ★結合Tello迷你無人機，透過Scratch拖拉設定控制飛機飛行，模擬無人機應用於物流管理。
9789865023058,【學業界專文推薦】 ‧依斯楚互動娛樂股份有限公司/吳嘉沅 董事長 ‧國立台北教育大學玩具與遊戲設計所前所長/張世宗 教授 ‧工業技術研究院/萬象 資深研究員 ‧夢郡遊戲/曾柏祐 創辦人 5大熱門遊戲設計實例， 依樣就能設計出3D好遊戲! Unity是一款適合中小型遊戲製作的跨平台專業遊戲引擎，功能強大，學習曲線短。本書以Unity為開發工具，前半部第1~5章為基礎內容，後半部第6~10章則為實例應用，範例以Unity 2019版示範操作，可線上下載範例檔。沒有深奧的理論，採循序漸進的實例體會遊戲開發的樂趣，製作出目前熱門的遊戲類型。 ‧5大精彩主題作品(坦克大戰、投籃遊戲、紙片人冒險遊戲、敵軍總部射擊遊戲，以及室內展覽應用)，各遊戲專案檔中均整理出開發遊戲的素材及模型檔，對於不擅長美術設計的人來說，可以依此迅速進行遊戲設計。 ‧透過不同程度的學習主題，初學者可以先從基本操作與程式腳本的基礎課程入門，進階者則可以直接進入遊戲專案製作。 ‧不用寫程式腳本，也能依樣設計出好遊戲。程式使用C#，程式腳本中附有中文說明，對於剛入門的人或遊戲美術背景的學生來說，可以更快瞭解程式開發的架構，進而學會編修程式腳本。
9789865022525,設計更具吸引力、優雅和有趣的遊戲！ 在《進階遊戲設計》這本書中，先驅的遊戲設計師和大學教授Michael Sellers幫助你更深入地思考遊戲設計，並建立出令人沉浸的世界，帶給玩家敬畏、驚奇和大量的樂趣。 憑藉20多年設計遊戲、領導遊戲開發團隊和教授遊戲設計的經驗，Sellers將實用的遊戲設計實踐與成熟的系統理論相結合，幫助你了解目標及實現它們的最佳方法。 本書專注於建構「有生命的動態系統」：像是戰鬥、任務、公會、交易、聊天、魔法等等系統。為了幫助你製作出這些系統，他提取了天文學、物理學、心理學、社會學、歷史和經濟學等各個領域的知識。 你將深入了解系統是什麼，以及如何設計能夠吸引玩家並保持玩家參與的系統性遊戲。你還將了解成為一位成功的遊戲設計師意味著什麼－成為一位不會停止重塑自己、行業內的傑出成員。 ‧了解遊戲、系統和玩家之間的密切關連 ‧了解不同的元素如何相互作用，並創造出嶄新和令人驚訝的事物 ‧分析既有的遊戲設計，以發現隱藏在其中的系統 ‧明確地將玩家體驗與遊戲結構和流程聯繫起來 ‧探索樂趣究竟「意味著什麼」，從而使你更能為玩家提供樂趣 ‧設計出遊戲的必要循環，包括玩家的心智循環 ‧掌握讓遊戲平衡的強大方法 ‧平衡系統，實現有效的進展和經濟平衡，反映實際的玩家行為 ‧與遊戲+玩家的系統迭代互動，讓你的遊戲成真 ‧快速建構原型並有效地測試遊戲 ‧發現成為一位優秀遊戲設計師的最佳實踐，並作為優秀開發團隊的一份子 ‧在整個工作和生活中應用本書中的強大原則
9789863125822,Unity 是遊戲設計最廣為人知的開發工具，操作介面要上手並不難，但要做出像樣的遊戲就不容易了，因為製作遊戲除了開發工具的使用外，還要懂得「遊戲製作流程」。本書將遊戲製作流程簡化為 5 個步驟，只要依照這這個流程，就可以很有頭緒地完成每一階段的工作，順利完成整個遊戲製作。許多初學者因為「不會寫程式」在一開始製作遊戲就卡關，因此本書開頭就會先補充最基礎的程式語法，只要抱持著「要讓遊戲動起來」的心情，一定很快就會學會。全書以淺顯的文字與圖片前後對照，搭配遊戲情境解說和逗趣的角色設計，讓讀者清楚了解遊戲開發的過程，只要重複累積這些經驗，一定可以製作出屬於自己的有趣遊戲！經實際測試，本書內容適用 Unity 2019／2018／2017 等版本●初學者也可以製作遊戲！提供不同遊戲類型的實作範本，照著五步驟 SOP 讓新手不再碰壁。●沒學過程式也沒關係！本書從 C# 的基本語法開始學習，沒有程式基礎也能得心應手。●不管什麼平台都適用！因應多元的作業環境，提供橫跨 iOS／Android／Mac／PC 各平台的解決方案。●讓遊戲變得很有趣的技巧！關卡設計的難易度，讓遊戲變得更具挑戰性和互動性，讓遊戲更好玩。●學習輔助教材遊戲製作素材（2D／3D 圖片、音效）手機版／電腦版跨平台遊戲範例專案遊戲範例程式碼
9789577357656,近年來，隨著科學技術的發展和現代社會的進步，數位媒介與技術的蓬勃興起使得相關的藝術設計領域得到了高速的發展並受到了廣泛的關注。近十年來，遊戲產業迅猛發展，正在成為第三產業中的朝陽產業。數位遊戲已經從當初的一種邊緣性的娛樂方式成為目前全球娛樂的一種主流方式，越來越多的人成為遊戲愛好者，也有越來越多的愛好者渴望獲得專業的遊戲設計教育，並選擇遊戲作為他們一生的職業。同時，隨著數字娛樂產業的快速發展，消費需求的日益增加，行業規模不斷擴大，對遊戲設計專業人才的需求也急劇增加。 遊戲產品的開發環節和開發內容主要包括遊戲策劃、遊戲程式開發以及遊戲美術設計，策劃是遊戲產品的靈魂，程式是遊戲產品的骨架，而遊戲美術則是遊戲產品的“容顏”，彰顯著遊戲世界的美感。遊戲美術設計的內容和方向主要包括遊戲角色概念設計、遊戲場景概念設計、三維遊戲美術設計、遊戲動畫設計、遊戲介面（UI）設計、遊戲特效設計等。 隨著市場競爭的加劇，產品同質化突顯，遊戲產業對遊戲設計專業人才的需求在品質上提出了更高、更嚴的要求。企業和研發機構將越來越看重具備複合性、發展性、創新性、競合性四大特徵的高級遊戲設計人才。透過廣泛調研以及近年的教學實踐和教學模式探索，我們就當前高級遊戲設計人才的培養必須具有高創造性、高適應性、高發展潛力，具有國際化的視野和競合性，既要具有較強的產品創新與設計創意能力，又要具有較強美術創作實踐能力方面達成了共識。 為了體現這一共識，本書中的教學案例基本來自於作者的教學或開發實踐，並注重思路與方法的引導，充分展現了當前的最新設計思路、技術路線趨勢，體現了教學內容與設計實踐的緊密結合。
9789864769544,◎Scratch！！ 不只是程式設計工具，更是遊戲設計軟體以Scratch為工具介紹遊戲設計 結合TELLO無人機讓學習樂趣飛上天 Scratch 由MIT（麻省理工學院）設計，是學習程式設計入門的工具，介面操作100%圖像式，採用LEGO（樂高）組合方式作程式設計，傳統的指令轉化為如同樂高一樣的積木元件，將不同功能的元件組合在一起就可完成程式設計。 本書以Scratch為工具介紹遊戲設計，並使用Scratch模擬Tello無人機進行物流配送。 ● 一課一專案的設計，一課即能完成一個獨立的遊戲成品，引發學生學習樂趣。讓學生對程式設計不再懼怕。 ● 結合Tello迷你無人機，透過Scratch拖拉設定控制飛機飛行，模擬無人機應用於物流管理。
