ISBN,書籍簡介
9789864766345,引領網路入門學習，並具備一般產業界所需的專業標準與基礎實力！◎書籍內容新增5G行動通訊、區塊鏈、Fintech、Beacon、AI、VR/AR等應用。◎建構由淺入深的學習架構，基礎與專業知識一應俱全◎納入網路實務演練與規劃，符合業界之網路能力需求◎因應網路技術現況與趨勢，納入最新的網路資訊議題◎融合產學兩界的實務經驗，最貼近學習與使用者需求●涵蓋網路最完整知識訊息與新興議題，從網路、區域網路、通訊協定(TCP/IP)、無線區域網路、3G/4G行動通訊、網路規畫到實務應用，並專章介紹熱門主題如雲端運算(Cloud Computing)、大數據(BigData)、物聯網(IOT)、Fintech的影響、網路規畫到實務應用，內容豐富扎實，最適合學校教學使用，或者網路初學者入門學習使用。●由擁有專業實作、產業經驗、教學實務和國際大廠Cisco、Microsoft、Novell..等十多項認證資格的作者主編，內容融會理論與實務，貫通教學、學習與實務使用等需求。●適用於各種電腦網路平台，例如：Unix、Linux、Microsoft、Apple、Netware等。●適用於各種電腦網路設備，例如：Fluke、Lucent、Intel、3Com、Accton、D-Link、Cisco等。●採系統化的介紹與複習模式，於各章末加入Q&A，以及相關升學考試近幾年的歷屆考題，提供實用的網路重點彙整，並配合章節內容練習驗收，讓學習與考試事半功倍！
9789862016343,"網路時代的優勢在於知識的無界限傳遞，創造無限的想像空間與人類生活的全新商機，藉此亦改變人類原有的生活文明發展。而智慧型手機的應用越發成長，滿足使用者更多元的需求。不論網路安全亦或資訊安全的稱呼皆表示數位科技在安全的絕對必然性。因為唯有安全才能保障資料於網路傳遞的正確性，資料於數位電腦儲存的完整性，並可抵禦所有可能人為／自然的破壞。想當然爾，能夠達成安全的基礎即是密碼的理論基礎與悠久的內涵發展。在這樣的需求下，此本書的來由亦因應而生。藉由安全機制的認識，才能實現PKI網路世界的人/事/物的信賴，也能享受科技帶來的高度文明成果。本書分四大部分，「資訊安全基礎」介紹建構資訊安全與應用所需的基礎知識與概念及資訊犯罪所面對的法律規範與議題；「資訊安全應用」探討各項資訊安全設定的應用，如雲端、通訊以及社交網路…等廣為大眾所使用的科技應用與加強安全性；「資訊安全實務」討論目前網路安全應用與解決之道並佐以實務上的應用，如：PGP資料加密、網路安全交易SET/SSL、電腦病毒、電腦系統安全防護、Snort與Nessus網路安全工具等。「資訊安全進階學習」則為將較艱深、繁雜的數學公式與相關應用程式，並收錄於CD中提供讀者學習。"
9789867075383,0
9789865230838,本書共分九章，從何謂電腦網路之基礎開始建構整體邏輯觀念，循序漸進說明網路基本傳輸要素、訊號傳遞基本原理以及調變、基頻和寬頻網路等重要觀念，並同時撰寫網路作業系統規劃管理等相關實務，幫助全面學習電腦網路的專業與應用知識。
9789865033903,作者曾在中華電信從事寬頻網路研究及教學，累積多年的實務經驗，其所累積的實力具體呈現於本書當中，可帶給資訊網路人員對TCP/IP網路有一清晰的觀念，並能透徹的瞭解電腦網路的基本原理。作者以Wireshark軟體實作各種封包分析，讓初進此資訊領域的學生及業界人員能更清楚明白其操作原理，是讀者不可或缺的網路參考書籍。
9789865032067,作者曾在中華電信從事寬頻網路研究及教學，累積多年的實務經驗，其所累積的實力具體呈現於本書當中，可帶給資訊網路人員對TCP/IP網路有一清晰的觀念，並能透徹的瞭解電腦網路的基本原理。作者以Wireshark軟體實作各種封包分析，讓初進此資訊領域的學生及業界人員能更清楚明白其操作原理，是讀者不可或缺的網路參考書籍。
9789865020828,電腦網路原理必修啟蒙書：一本基礎入門的網路教材，介紹基本且必須具備的網路概念，內容兼具趣味性與實用性，又涵蓋四技二專統一入學測驗、勞委會相關檢定之網路範圍相關考題，以及MTA98-366（網路管理國際證照）試題，兼具國際考照實力。並提供網路重要名詞的彙整，可同時學會網路基礎知識、認識目前熱門應用主題，並預備升學考試之能力。●全書依網路原理課程規劃與編寫，並融合重要考試方向，以及應用新知與實用資訊，是一本很好入門的書籍。●了解電腦網路相關概念，並藉由仿效、改變網路設定，進而學會架設網路的知識，以及透過實作範例，將電腦網路應用到工作及生活。●書籍編寫內容符合MTA98-366（網路管理國際證照）考試範圍，並隨章附上模擬試題。讓學生上完課，即獲得國際專業證照實力。●書末附有網路重要名詞與整理，並隨書提供網路名詞學習安裝程式，方便理解、記憶與學習。●完整收錄至改版時最新年度四技二專統一入學測驗，以及勞委會相關檢定之網路範圍試題，共達473題。
9789865030735,作者曾在中華電信從事寬頻網路研究及教學，累積多年的實務經驗，其所累積的實力具體呈現於本書當中，可帶給資訊網路人員對TCP/IP網路有一清晰的觀念，並能透徹的瞭解電腦網路的基本原理。作者以Wireshark軟體實作各種封包分析，讓初進此資訊領域的學生及業界人員能更清楚明白其操作原理，是讀者不可或缺的網路參考書籍。
9789864638024,作者曾在中華電信從事寬頻網路研究及教學，累積多年的實務經驗，其所累積的實力具體呈現於本書當中，可帶給資訊網路人員對TCP/IP網路有一清晰的觀念，並能透徹的瞭解電腦網路的基本原理。作者以Wireshark軟體實作各種封包分析，讓初進此資訊領域的學生及業界人員能更清楚明白其操作原理，是讀者不可或缺的網路參考書籍。
9789864555048,◎深入淺出地講解電腦網路概論，培養網路管理的基本知能。					◎配合CIW檢定的學習重點，札根實務的技術能力。					◎大量的圖解範例，快速瞭解各種網路型態與運作方式。					◎搭配CIW檢定模擬考題，備滿實力獲取國際證照。
9789864634743,本書主要的目的在於提供網路基礎的知識，意在使得讀者瞭解簡單的網路理論、網路的實務與操作；適合對電腦有基礎概念，並對網路有興趣的讀者閱讀。同時，本書亦依據教育部部編的『電腦網路基礎』與『網際網路實務』課程標準大綱編著，可以作為專科、高職的網路基礎教科書。
9789864634163,作者曾在中華電信從事寬頻網路研究及教學，累積多年的實務經驗，其所累積的實力具體呈現於本書當中，可帶給資訊網路人員對TCP/IP網路有一清晰的觀念，並能透徹的瞭解電腦網路的基本原理。作者以Wireshark軟體實作各種封包分析，讓初進此資訊領域的學生及業界人員能更清楚明白其操作原理，是讀者不可或缺的網路參考書籍。本次改版新增雲端運算、新一代的ISDN網路、ZigBee技術、ZigBee協定概述 IPv6安全性、Java Applet/ActiveX/ActiveX Scripting等主題，內容更貼近電腦網路的進程。
9789864550289,"◎作者以多年「電腦網路」教學的實務經驗撰寫本書，以深入淺出的Step by Step圖片教學方式，帶領讀者進入網際網路夢想世界。

◎全書共11章，每章涵蓋一個電腦網路主題，讓你輕鬆學會網際網路實務應用：

1. 基礎應用：上網障礙排除、實用瀏覽器簡介、電子郵件、社群網站、即時通訊、網路拍賣、App精選

2. 進階應用：包括網頁綁架排除、架設郵件伺服器、認識雲端、遠端遙控、建置Web網站

◎讓你用最短的時間認識超實用的App、網路軟體，並從初學者成為網路高手！"
9789572195536,1.電腦網路理論與應用實務合一，達到活用電腦網路的教學目標。2.各章節以學習目標勾劃學習重點，並附課後習題，立即評量學習成效。3.以大量圖表配合各章節內容，易學易懂。4.實作部分以圖表循序漸進，增加學習效果。5.更新網路時事，貼近生活所需，加強理論與應用的結合。本書共分二部分：I、網路原理篇（第1-5章）強化讀者了解電腦網路的基本概念與基礎理論。II、網路應用篇（第6-11章）結合網路原理配合網路應用，介紹Windows應用軟體，且大都是Freeware或Shareware軟體，讀者可以在各大FTP網站輕鬆下載安裝，以達到立即學習的效果，進而達到善用網路資源，活用網路環境的目標。
9789861578729,‧從為何、何處及如何這三點來邏輯論述協定的設計與實作。‧42個有明確編號的關鍵協定和機制的開放源碼之實作。‧4章附錄，其主題分別為網際網路和開放源碼社群裡誰是誰、Linux系統核心之總覽、開發工具和網路實用工具。。‧在每章的開始就以待回答之重大問題來激勵讀者對一般性議題之學習動機。‧以「封包的一生之旅」來說明本書的內容路線圖和封包行進流程。‧提供豐富的補充教材，包含歷史演進、原理應用、效能專欄。‧每章之末的「常見誤解」指出常見的錯誤理解。‧每章結尾附有「常見問題」集錦。‧除了書面練習題之外，尚附有基於Linux系統的動手實作練習題。《電腦網路：開放源碼導向》認為通訊協定是以特殊方式設計而成，而其背後原因為何遠比它是如何運作來得更為重要。本書闡釋協定行為，並傳達關鍵概念和基礎原理。為了進一步彌補設計和實作之間長久以來的落差，本書以Linux 系統為例，說明了在系統何處及如何實作通訊協定的設計。一組全方面且實際運作中的42 個開放源碼之實作穿插於各章中，其範圍橫跨硬體（8B/10B、OFDM、CRC32、CSMA/CD 及密碼）、驅動程式（乙太網路和PPP）、系統核心（最長字首比對、校驗和、NAT、TCP 訊流控制、插槽）以及守護行程（RIP/OSPF/BGP、DNS、FTP、SMTP/POP3/IMAP4、HTTP、SNMP、SIP、影音串流及P2P）。
9789863085829,"1.由淺入深引導讀者奠基電腦網路概論的基本知能。2.重點整理切合CIW認證要點，幫助讀者應考CIW有明確的方向。3.每章搭配模擬試題，全真練習，快速增進應考實力。4.附有試題詳解說明，讓您學到更多關於網路概論的知識。"
9789862800973,本書特色　　現在網路的重點在於內容派送（特別是利用CDN 和對等點網路傳遞視訊），且行動電話是網際網路上的小型電腦。為跟上不斷演進的電腦網路世界，特請David J. Wetherall教授加入而來豐富的網路背景。第五版修訂並更新至最新資訊：● 無線網路（802.12 及 802.16）● 智慧手機使用的 3G 網路● RFID 和感測網路● 透過 CDN 進行內容派送● 對等點網路● 即時媒體（儲存、串流、及實況來源）● 網際網路電話（IP 語音）● 耐延遲網路等於各章均有詳細介紹。
9789863757955,◎參閱各校網路概論課程，設計適中的教學題材與份量。◎大量示意圖及表格，以淺顯易懂的角度表達深奧理論。◎導入實作將理論與實務結合，幫助讀者融會貫通本書以入門者的角度來撰寫，把握淺顯易懂及圖文並茂的解說原則，精準表達難易適中的重要理論，適合作為網路概論的入門教材。  架構清楚，各司所職本書三大核心架構：首先導入網路的基本概念及網路的架設與環境設定。接下來的章節，介紹網路分層架構的精神，最後安排最新網際網路相關應用與技術、資訊安全防護及網路管理。彩單元，包羅萬象通訊網路基礎、網路參考模型、通訊基礎設備、資料通訊導論、網路架設、IP位址封包與路由、廣域網路、UTP與TCP協定、DNS運作架構及查詢流程、DHCP觀念與運作流程、IPV6的發展與未來、ARP與ICMP、最新網路技術、網際網路、網路與資訊安全、網路管理。
9789862653104,本書主要講述通訊網路的架構面，並以淺顯易懂的文字解說，輔以適當的圖表及必要的英文註解，讓您更容易理解通訊網路之技術。若您為初學者，按單元反覆地操課，除了有助學習、一讀就明白外，更能於應試時獲得最佳效益、掌握關鍵的得分技巧！若您已有教科書，也能以曾經習讀之教科書為主，再搭配本書作為考前衝刺之準備！內容摘錄各單元重點、綱要，其內容解說詳盡，迅速提升閱讀實力。書中更附有歷屆出題分析解說，全盤掌握命題重點之所在；各單元檢附之例題除了供練習外，書末蒐錄近年國家考試題目（附難題解析），期幫助考生於最短時間內，掌握其趨勢，加強自我戰鬥之能力，一戰而勝。
9789861542430,0
9789861291697,"有鑒於廣大讀者實務上的需要，作者以多年『電腦網路』教學的實務經驗撰寫本書，以深入淺出的Step by Step圖片教學方式，帶領讀者進入網際網路夢想世界。 除了簡易的電子郵件、網路防毒、檔案傳輸、即時通訊、網路傳真、網路拍賣、網際電話之外，還有更進一步的下載串流語音、架設FTP站台、架設WEB站台、申請自己的網域名稱、遠端開機、遠端遙控、視訊會議等，均有詳細說明，一定能讓初學者在最短時間變成網路高手。"
