書名,書籍網址,作者,出版社,ISBN,圖片網址
PopHolic流行駭客: 同名專輯,https://www.eslite.com/product/1004259112025350,流行駭客,香港商百代音樂股份有限公司,4712089607044,https://s.eslite.dev/Upload/Product/201104/l/634389715636461250.jpg
首席駭客 1-12 (12冊合售),https://www.eslite.com/product/1001112632711310,銀河九天,風雲時代出版股份有限公司,9789863525783,https://s.eslite.dev/Upload/Product/201809/l/636722516780078118.jpg
"駭客思維: 抓出生活中的不合理, 優化你的人生",https://www.eslite.com/product/1001136022682031282006,小約瑟夫．雷格爾,究竟出版社股份有限公司,9789861373270,https://s.eslite.dev/upload/product/l/2682031282006/20210612061250069037.jpg
鋼索上的管理課: 駭客、災變與多變動時代的韌性管理學,https://www.eslite.com/product/1001245592712803,吳明璋,大寫出版,9789579689175,https://s.eslite.dev/Upload/Product/201809/l/636725971506230000.jpg
X科幻冒險隊 3: 駭客交鋒 (附學習單),https://www.eslite.com/product/1003283472872929,黃嘉俊,大邑文化,9789863019589,https://s.eslite.dev/upload/product/l/2681918901009/20200904054110769234.jpg
Flag's 創客．自造者工作坊: 資安衛士破解駭客戲法,https://www.eslite.com/product/1001113882862129,施威銘研究室,旗標科技股份有限公司,4712946750821,https://s.eslite.dev/upload/product/l/2681903765005/20200728032456746377.jpg
誰在帶風向、玩精準行銷 認知駭客如何操弄人心,https://www.eslite.com/product/1001113692847307,Kris Shaffer,碁峰資訊股份有限公司,9789865024482,https://s.eslite.dev/upload/product/l/2681882940004/20200523062013942757.jpg
Windows駭客程式設計: 駭客攻防及惡意程式研發基礎修行篇,https://www.eslite.com/product/1001120322824698,北極星,博碩文化股份有限公司,9789864344680,https://s.eslite.dev/Upload/Product/202002/l/637164887433470000.jpg
Windows駭客程式設計: 勒索病毒加密篇,https://www.eslite.com/product/1001120322810582,北極星,博碩文化股份有限公司,9789864344512,https://s.eslite.dev/Upload/Product/201912/l/637110451925906250.jpg
"住在大腦的肥胖駭客: 飢餓大腦全解讀, 看破大腦的算計, 擺脫大吃大喝的衝動",https://www.eslite.com/product/1001241772805710,史蒂芬．J．基文納特,大牌出版,9789867645944,https://s.eslite.dev/Upload/Product/201911/l/637094049251618750.jpg
駭客任務 三部曲 (UHD+BD 限定版),https://www.eslite.com/product/1004129442775575,賴瑞．華卓斯基/ 安迪．華卓斯基,美商華納兄弟(遠東)股份有限公司台灣,4710756410713,https://s.eslite.dev/upload/product/l/2681780226002/20190629045856564658.jpg
駭客任務 三部曲 (6BD),https://www.eslite.com/product/1004129442775576,賴瑞．華卓斯基/ 安迪．華卓斯基,美商華納兄弟(遠東)股份有限公司台灣,,https://s.eslite.dev/upload/product/l/2681780227009/20190629045722644506.jpg
駭客的Linux基礎入門必修課,https://www.eslite.com/product/1001113692778868,OccupyTheWeb,碁峰資訊股份有限公司,9789865021993,https://s.eslite.dev/Upload/Product/201907/l/636990356378980000.jpg
"學矽谷人做身體駭客, 保持體能巔峰: 90天科學飲食、體能計畫, 讓腦力、體力、心智發揮100%",https://www.eslite.com/product/1001251382772316,班．安杰,采實文化事業股份有限公司,9789865070205,https://s.eslite.dev/Upload/Product/201906/l/636972211544076250.jpg
Windows駭客程式設計: Windows Data Type精華篇,https://www.eslite.com/product/1001120322766846,北極星,博碩文化股份有限公司,9789864343966,https://s.eslite.dev/Upload/Product/201905/l/636942837928482500.jpg
"Warnings! AI、基因編輯、瘟疫、駭客、暖化……全球災難警告, 用科學方法洞悉真相",https://www.eslite.com/product/1001110712756777,理查．克拉克/ R.P.艾迪,聯經出版事業股份有限公司,9789570852905,https://s.eslite.dev/Upload/Product/201911/l/637100174643266250.jpg
ThinkFun駭客機密,https://www.eslite.com/product/1007244302746417,,ThinkFun Inc.,,https://s.eslite.dev/upload/product/l/2681723448003/ec1685655.jpg
成長駭客攻略: 數位行銷教父教你打造高速成長團隊,https://www.eslite.com/product/1001122732730162,西恩．艾利斯/ 摩根．布朗,遠見天下文化出版股份有限公司,9789864795925,https://s.eslite.dev/Upload/Product/201811/l/636791637591121250.jpg
職業駭客的告白: 軟體反組譯、木馬病毒與入侵翻牆竊密 (暢銷回饋版),https://www.eslite.com/product/1001120322728983,秋聲,博碩文化股份有限公司,9789864343515,https://s.eslite.dev/Upload/Product/201811/l/636786453086608750.jpg
駭客任務: 重裝上陣 (UHD+BD 限定版),https://www.eslite.com/product/1004129442721755,賴瑞．華卓斯基/ 安迪．華卓斯基,美商華納兄弟(遠東)股份有限公司台灣,4710756410522,https://s.eslite.dev/upload/product/l/2681672306003/820089.jpg
黑色鍵盤: 十五大駭客名人錄,https://www.eslite.com/product/1001122902684134,劉創,朝日文化事業有限公司,9789863796626,https://s.eslite.dev/Upload/Product/201806/l/636634387581528750.jpg
駭客任務 UHD+BD (限定版),https://www.eslite.com/product/1004129442677491,華卓斯基兄弟,美商華納兄弟(遠東)股份有限公司台灣,4710756410423,https://s.eslite.dev/upload/product/l/2681579966003/ec1482209.jpg
駭客的修練: 使用IDA Pro進行底層分析 (第2版),https://www.eslite.com/product/1001113692647702,秋聲&北極星編輯群,碁峰資訊股份有限公司,9789864766796,https://s.eslite.dev/upload/product/l/2681536366006/747582.jpg
破解線上遊戲: 電玩駭客的自動化Bot開發寶典,https://www.eslite.com/product/1001120322573300,Nick Cano,博碩文化股份有限公司,9789864341856,https://s.eslite.dev/Upload/Product/201702/l/636232832050120000.jpg
