ISBN,書籍簡介
9789863125525,"【運算思維】和【程式邏輯】都具備了, 寫程式才不會卡住！

C 語言總是厚厚一本, 一翻開就是密密麻麻的程式, 初學者根本就看不下去, 從頭打好基礎才是王道！

STEP 1 用流程圖學運算思維
STEP 2 用積木組出程式邏輯
STEP 3 用樣板程式熟悉 C 語言
STEP 4 用 Arduino 實踐 Maker 創造力

我們為初學者規劃了一條平緩的學習曲線, 從最基礎的邏輯觀念開始扎根, 從流程圖、積木拚塊慢慢推導出程式片段, 有了運算思維、具備程式邏輯後, 接著學習程式設計才不會卡住, 最後再融入豐富、有趣的 Arduino 範例, 從入門、實作到應用, 輕鬆學會程式設計。


◎ 完整學習 C 語言和 Arduino 的程式設計，一本書就可以同時學會 C 和 Arduino。
◎ 提供整合「流程圖+積木」的 fChart 程式設計教學工具，支援流程圖繪製、積木拚塊編輯以及程式執行和修改功能，同時也支援 Arduino 應用開發。
◎ 導入 Arduino 模擬器，省去硬體接線的困擾。
◎ 沒有程式基礎的 Maker 自學者也適用"
9789864304264,全書整體架構以循序漸進的方式進行，對於每個單元的鋪陳都保持著關聯性，本書概分為基本開發環境、8x51 架構與應用、週邊系統應用等三部分，共計14章。前兩章屬於基本開發環境的介紹，其中包括8x51基本認識、開發系統（uVision 3）與程式語言（Keil C）；第三章到第八章為8x51架構與應用，在此著重於8x51本身的操控，讓大家更了解這顆單晶片微處理器；第九章到第十四章則是週邊系統應用，在此著重於8x51與其他週邊裝置的連結，當然，也針對常用週邊裝置詳細介紹，並探討其應用方法。第三版主要抽換部分圖片，並補強文字，讓內容呈現更加清晰正確。隨書附贈光碟提供試用版軟體、教學PPT，與書中習題的解答等，使教學更為多元化。    作者全心投入，抱持嚴謹的態度，細心的編排全書內容，對於輔助教學的軟體設備，也著墨甚深，教學時軟體、硬體的相互配合，讓教學更輕鬆愉快。
9789863125006,"C 語言是很多人初學程式第一個會接觸到的程式語言，但是坊間的書籍又厚又難懂，看了好幾遍還是很難理解。有鑑於此，我們將難懂的程式概念，以插圖輔助的方式，幫您輕鬆理解【變數】、【陣列】、【迴圈】、…等這些抽象的概念，並輔以實用的小範例，帶您實作一遍，加深學習印象並融會貫通。

本書從最基本的語法開始介紹，逐一帶您了解變數、運算子、迴圈、陣列與指標、函數、…等，不論是曾經學習 C 語言感到挫敗的人或是 C 語言的入門新手，都能從中打穩基礎，不再對程式語言感到畏懼、難學！

●透過淺顯易懂的插畫，帶您輕鬆理解 C 語言！ 
●從一無所知開始學起，邁向程式設計之路的出發點！
●每個主題以「跨頁」介紹，不僅容易閱讀，也方便對照理解！
●本系列叢書在日本突破 70 萬本銷售佳績！"
9789864344932,"學習寫程式已經是和語文、數學、藝術一樣的基礎能力，過程中將可培養解決問題、分析、歸納、創新、勇於嘗試錯誤等能力。本書以程式初學者的角度出發，規劃了結合運算思維與演算法基本觀念的內容，運用目前主流程式語言之一的C語言來一步步引導入門者學會程式設計，以及加強邏輯訓練。 本書精要地說明了C語言的相關語法，提供包括觀念及程式除錯的各式題目，方便快速進入C語言程式設計的領域。同時納入APCS（Advanced Placement Computer Science）「大學程式設計先修檢測」的考試重點，收錄歷年的程式設計觀念題，以運算思維、問題解決與設計概念測試為主，藉以印證各主題的學習成效。 本書相當適合高中職學校用以教導程式語言的教材，或初次學習C語言的入門自學者。同時為了方便初學者機上實作，亦提供可在整合開發環境下正確編譯與執行的範例程式碼檔。"
9789864553068,"產品特色：					1.針對8位元單晶片市占率第一的Microchip公司之最新一代的產品 PIC16F18857/77單晶片之每一項功能，做詳盡之原理及用法的說明，並輔以程式範例，務使讀者能透徹了解單晶片中之每一項功能。					2.本書為學習單晶片之鑰，能免去讀者摸索之苦。若細心研讀，必能將單晶片玩弄於指掌之間。					3.本書適用於單晶片各個階段的學習，可用做技術高中及大專院校各階段的教材，也可以做為自我學習單晶片的教材。					4.每個範例都有組合語言和C語言的程式，讀者可以兩種語法都學或挑選其中一種學習，部分範例還有使用MCC設計程式的詳細步驟，適合讀者群的各種學習需求。					5.本書所有的程式範例都可以配合專用實驗板做上機練習。"
9789864344451,對於第一次接觸資料結構課程的初學者來說，過多的內容及不清楚的表達常是造成學習障礙的最主要原因。本書是以C程式語言實作來解說資料結構概念的入門書，內容淺顯易懂，藉由豐富的圖例來闡述基本概念及應用，並將重要理論、演算法做最詳實的詮釋及列舉，引領讀者集中焦點進入資料結構的學習領域。 每章重要理論均有範例實作，書中收錄了精華的演算法及程式的執行畫面，並附有完整的範例程式下載，讀者可以依照學習進度作練習，除此之外，還有配合各章教學內容的練習題目，讓讀者測試自己的學習成果。 【本書特色】 ※內容架構完整，邏輯清楚，採用豐富的圖例來闡述基本觀念及應用，有效提高可讀性。 ※以C語言實作資料結構中的重要理論，以範例程式說明資料結構的內涵。 ※強調邊作邊學，提供書中範例完整程式檔，給予最完整的支援，加深學習的記憶。
9789865021368,新時代的C語言建議 「你的C語言開發環境是否只有vi與cc？C語言的記憶體管理是否仍像90年代一樣令人困擾？Ben Klemens純熟的說明這些及其他常見的問題，展示透過工具簡化C語言開發，幫助開發人員除錯、追蹤記憶體洩漏、組織編譯過程以及管理原始程式碼版本」 －－Dave Kitabjian NetCarrier Telecom軟體開發團隊主管 該是拋開對C語言舊有想法，由源頭重新學習的時候了，不論是新入門或重新複習，所有的讀者都可以從《21世紀C語言》的最新改版中，學到其他C語言書籍缺乏的最新技巧。 C語言不只是現代程式語言的基礎，本身也是現代程式語言，適合撰寫高效率、最先進的應用程式。請拋開大型主機時代的程式建議，學習這個與時俱進，十分簡單的程式語言所需要的工具。無論您目前喜好哪種程式語言，很快就能夠體會到21世紀C語言真的超酷。 ●利用shell工具、makefile、文字編輯器、除錯程式及記憶體檢查程式設定C語言開發環境●使用Autotools，這個C語言跨平台套件管理的實質標準●認識C語言中需要拋棄或忽略的陳舊觀念●使用C語言標準函式解決字串處理問題●在函式上使用結構化輸入的現代語法特性●建立以高階物件為基礎的函式庫與程式●使用現有C語言函式庫進行進階數學運算、與網際網路伺服器連線及操作資料庫 這個版本還新增了並行執行緒、虛擬表格、C99數值型別等諸多內容。
9789864343911,"累積歷史銷量達十萬本的C語言經典書籍重新改版！ 

這本書能夠讓您從零開始學習C語言，扎實打好C程式設計的基礎，並引領您成為一位專業的C程式設計師。本書具備下列特點： 

● 觀念大釐清：你知道你所學的C語言觀念錯在哪嗎？ 
● 上手超簡單：一語法一範例、大量圖解說明、開發工具指引 
● 學習最多元：老師的叮嚀、Coding偷撇步、Coding注意事項 
● 除錯大應用：透過浮點數比較運算，展示Dev-C++ 5.x的除錯功能 

對一本以最適合初學者學習為目標的書籍來說，本書著重於以下幾個特色： 
一、嚴格要求觀念正確：本書特別釐清C語言只支援傳值呼叫(Call by value)的觀念，即便是傳指標呼叫(Pass by Pointer)也屬於傳值呼叫的一種，例如傳遞陣列即可獲得印證。因為傳址呼叫的被呼叫端可以影響呼叫端的引數，因此，呼叫端不可以使用不可變動的常數作為引數（詳見7-29頁）。 

二、最適合初學者自習：每一個語法至少搭配一個範例來解說，並適時加入圖解來說明記憶體的變化與程式的架構。針對初學者更精心設計包含老師的叮嚀、Coding偷撇步、Coding注意事項、多種範例說明及語意綜合比較等，能有效提昇學習效率的技巧與方法。 

三、最佳的教學範本：特別徵詢多位專業老師意見，內容安排由淺入深，並增加預覽篇延伸了未來的學習路徑，同步依程度設計眾多的習題，最後更以包含Project型式的期末專題作驗證。初學者依此學習路徑不但能讀懂程式，更能實際『撰寫』程式。"
9789864343850,搶進名校資訊類學系的最佳武器！◎以C語言的運算思維與演算邏輯解析APCS公告試題◎針對各種程式追蹤、填空、除錯題型，模擬演算過程及變數值追蹤◎詳細說明【觀念題】的相關知識，並列出各選項對╱錯之理由◎完整架構解析【實作題】：解題重點分析、完整程式碼、執行結果及程式碼說明多元邏輯思考訓練手腦並用強化程式語言運用APCS（Advanced Placement Computer Science）是指「大學程式設計先修檢測」，其目的是提供學生自我評量程式設計能力，及評量大學程式設計先修課程學習成效。APCS考試類型包括：程式設計觀念題及程式設計實作題。程式設計觀念題採單選題測驗，以運算思維、問題解決與程式設計概念為主。測驗題型包含：程式運行追蹤、填空、除錯、效能分析及基礎觀念理解等。觀念題如果需提供程式片段，會以C語言命題。重點包括：資料型態、常數與變數、全域及區域、流程控制、迴圈、函式、遞迴、陣列、結構，及基礎資料結構，以撰寫完整程式或副程式為主。本書提供APCS歷年公告試題的完整解答與分析，並以C語言來撰寫程式實作題。觀念題不僅清楚說明題意，並詳解各選項的對錯理由。另外對於需要程式執行過程追蹤、填空、除錯等程式片段的觀念題，書中一併提供完整程式碼及執行結果。而實作題方面則以解題重點分析、完整程式碼、執行結果及程式碼說明等架構完整解析。深信本書能指引應考者具備檢測APCS的經驗與強化解讀程式的實戰力。
9789864639915,本書累積作者多年教學及實務經驗，由淺入深，引導初學者進入C語言的程式設計世界。書中引入生活中的事物，對照程式設計中的邏輯概念，讓初學者對程式設計更快上手。本書針對常用的C語言庫存函式做介紹，讓初學者善用現有的基本需求功能的思考及設計。包括輸出/輸入函式、數學運算函式、亂數函式、字元轉換及字元分類函式、字串處理函式、字串與數字轉換函式、時間與日期函式、聲音函式及停滯函式。書中的程式範例，均為實用性的生活例子且本書附有範例光碟。
