ISBN,書籍簡介
9789864769711,「本書介紹好幾種重要的web開發語言，是一本很棒的入門書籍，節奏明快、容易閱讀、資訊豐富，讓你很快就能建立動態的網站，包括一個基本的社群網路網站。」－－CSE HTML ValidatorZ開發者／Albert Wiersch就算你只瞭解基本的HTML，也可以透過開放原始碼技術與web標準的強大組合，建構出互動、資料驅動的網站。在這本最新版的熱門實作指南中，你將使用現今最新的核心技術設計動態web程式：PHP、MySQL、JavaScript、CSS、HTML5與主要的jQuery程式庫。Web設計者將學會如何同時運用這些技術，並在過程中瞭解寶貴的web程式設計實務，包括為行動裝置優化網站。於本書最後你將會結合所有知識，建立一個功能齊全、可在桌上型和行動瀏覽器中使用的社群網站。●探討MySQL，包括資料庫結構與複雜的查詢指令●使用MySQLi擴充套件：改善過的PHP MySQL介面●建立為使用者量身定制的PHP動態網頁●管理cookie與session，並維持高度安全●用jQuery套jQuery mobile程式庫加強JavaScript語言●使用Ajax呼叫進行瀏覽器/伺服器的幕後通訊●掌握CSS2與CSS3技術，修飾你的網頁●實作HTML5功能，包括地理定位、音訊、視訊與畫布元素●將你的網路重新格式化，使它變成行動web app
9789863476009,"“The Missing Manual系列可說是我讀過最有見地、最實用的系列書籍了…”—Kevin Kelly, Wired 之共同創辦人 書架上不能沒有的一本書答案就在這裡！JavaScript可開發出各式各樣的動畫和互動特效，讓網頁更生動精彩，但卻不容易學習。本書以淺顯易懂的方式逐步引導你學習JavaScript基礎知識，並教你如何善用jQuery與jQuery UI省下大量的開發時間與精力。你不可不知的重要訣竅‧讓網頁活起來-以jQuery設計與使用者互動的元素‧熟悉jQuery UI-以標籤分頁，對話框，日曆與其他widget豐富介面的呈現‧漂亮的表格-接受使用者輸入，幫助顧客下單，讓會員發表意見‧以Ajax超越瀏覽器的束縛-與伺服器通訊，不需重新載入就能更新內容‧運用新技能執行工作-使用jQuery與jQuery UI逐步開發應用程式‧更高階的主題-使用ThemeRoller自訂widget；避免新手常犯的錯誤"
9789862766576,循序漸進 動態網站建立指南就算沒有編寫過任何程式，也能設計出互動性的資料驅動網頁！如果你曾經使用HTML設計網頁，這本廣受歡迎的指南，將能讓你更加掌握設計動態網頁的要訣，並精通時下最重要的開源技術：PHP、MySQL、JavaScrip以及CSS。本書將引領你逐一探討各項技術，教導整合的方法與寶貴的網頁設計概念：包括物件、XHTML、cookies 與期程管理。各章亦提供測驗題目，協助你學以致用。學習 PHP的精華與物件導向程式設計基礎MySQL，包含資料庫結構以及複合式資料查詢以PHP和MySQL建立網頁，同時結合表單及其他HTML功能JavaScript的主要觀念，包括函數、事件處理及存取文件物件模型CSS的基礎知識，以CSS編排、裝飾網頁透過Ajax 呼叫將網頁轉為高度動態系統上傳檔案和圖像並加以管理，驗證用戶輸入的資料，保護應用程式整合所有要素，探討實際範例資訊科技作家Robin Nixon從1980年初就投入電腦實務並撰寫電腦書籍。他曾發表過上百篇電腦文章以及數本電腦書籍，亦曾使用PHP、MySQL、JavaScript 及CSS開發眾多網站。
9789577632388,把真正的程式設計變得簡單JavaScript是主流的Web程式開發語言，是建立令人驚訝的互動式網頁應用程式和線上遊戲的祕密武器。本書用輕鬆愉快的方式，透過耐心的、按部就班的範例，以及充滿趣味的圖示，幫助讀者輕鬆地學習程式設計的基礎知識。本書帶領讀者從基礎知識開始，例如處理字串、陣列以及迴圈，然後繼續學習一些進階主題，例如使用jQuery建構互動性，以及使用畫布繪圖。透過閱讀本書，你將實際撰寫出諸如Find the Buried Treasure、Hangman和Snake這樣的遊戲。透過彈跳球、蜜蜂動畫、賽車這樣的視覺化範例，你將真正地看到自己所編寫的程式。每一章都建構於前一章的基礎之上，每一章末尾的「程式設計挑戰」將擴展你的思路，並激發出屬於你自己的、令人驚訝的程式。今天，就用JavaScript 設計一些很酷的東西吧！
9789865020224,“Nicolás擅長將極複雜的技術主題分解成容易理解的白話和程式範例。”－－Mathias BynensGoogle與TC39如果你有JavaScript和ECMAScript 6(ES6)的實務知識，這本實用指南將協助你設計模組化程式，寫出可讀、易維護、可擴展的程式。你會學到JavaScript模組化結構的基本知識，並且享受在每一個系統層面上（包括用戶端與伺服器）編寫獨立且完善的程式帶來的好處。作者Nicolás Bevacqua教你如何將基礎程式拆成更小的模組來擴展JavaScript應用程式。資深開發者、技術主管與軟體架構師都可以從本書的設計實務中，學到如何控制內部的複雜性，同時建立簡單且靈活的模組。●掌握模組化設計的重點，包括你的應用程式會被如何使用，以及哪些東西屬於介面●設計模組的內容來揭露程式的意圖，讓它容易被瞭解●重構程式與內容並消除狀態來降低複雜性●利用現代的JavaScript功能編寫簡潔的程式與減少複雜性●採取Twelve-Factor App原則開發JavaScript應用程式前端與後端
9789864343522,Learning JavaScript Data Structures and Algorithms資料結構（data structure）是電腦系統中組織資料的一種高效方式，學習資料結構及演算法（algorithm）可說是解決各項程式設計問題的重要基礎。本書起初先從 JavaScript 程式語言的基礎著手，接著便會進入重要的資料結構議題，包含陣列、佇列、堆疊以及鏈結串列等，並且深入探索集合函數與雜湊表。此外你也將學習到樹狀結構、二元樹、以及二元搜尋樹等概念。在後續章節裡，則包含了圖形、深度優先搜尋（DFS）以及廣度優先搜尋（BFS）。你將學習到如何掌握各種搜尋及排序演算法，包含循序搜尋、二分搜尋、快速排序、以及氣泡排序等。而在本書的最後，也將探索動態規劃（dynamic programming）的概念。你能夠從本書學習到在陣列、堆疊及佇列中宣告、起始、新增及移除項目。建立複雜的資料結構與圖形，並應用 DFS、BFS 等演算法。一手掌握鏈結串列、雙向鏈結串列以及環狀鏈結串列。利用雜湊表、字典與集合來存放獨一無二的元素。探索二元樹及二元搜尋樹的應用。對資料結構進行氣泡排序、選擇排序、插入排序、合併排序以及快速排序。藉由循序搜尋與二分搜尋在資料結構中搜尋元素。瞭解大O表示法、動態規劃以及貪婪演算法。適用讀者JavaScript 開發者或初學者，可透過本書培養對程式進行最佳化的能力。此外也可作為資料結構及演算法概念的學習教材。
9789863125068,"大幅收錄 ES 全新語法,化繁為簡的視覺化範例圖解帶你紮穩基礎！JavaScript 是網站製作時的重要技術, 從早期的製作網頁特效、進行簡單運算處理, 其功能不斷進化, 例如運用 Ajax 可與伺服器進行非同步通訊…等, 已晉升為 Web 應用程式開發的要角, 是前端工程師一定要深入學習的技術。而 JavaScript 在 ES6 版本 （泛指 ES6～ES9 及之後的新語法標準） 發佈後, 其語法撰寫規則有了大幅度的改變, 也增加了許多新功能, 例如運用箭頭函數 （Arrow Function） 可用更簡短的語法來表示, 提高程式碼的閱讀性；導入 class 指令, 讓以往撰寫不便的物件導向程式設計變得更直覺…等。本書大幅收錄新一代的 ES 語法標準, 透過視覺化的示意圖詳盡解說新語法的撰寫邏輯, 不管您是初學 JavaScript 的新手, 或是想了解全新語法的學習者, 都能快速上手, 紮穩 JavaScript程式設計的基本功！●【詳盡解說 ECMAScript 全新語法標準】箭頭函數 （Arrow Function）class 指令let 指令for…of 迴圈產生器 （Generator）Promise／Set／Map／Symbol 物件樣板字串 （Template Strings）模組系統 （Module System）...更多豐富新功能解說盡在本書●【傳授實務的 JavaScript 開發技巧】單元測試 - Jasmine利用文件註解說明程式碼內容 - JSDoc利用建置工具自動執行例行作業 - Grunt新舊版程式轉碼器 - Babel"
9789864766826,改善不良程式碼「我喜歡這本書的原因是，它系統性地陳述了重構是什麼以及不是什麼。這樣的聚焦觀點，幫助開發者在不改變程式碼行為的前提下提高品質，是每個JS開發者必備的資訊。這本書必讀。」－－JavaScript 導師／Kyle Simpson（“getify”）「重構JavaScipt為改進你的JavaScript程式碼指出了清晰的方向。這本書討論重構的工具和技巧，以及如何在不改變程式碼行為的前提下修改程式碼。全書中皆穿插附導引的範例，帶領讀者悠遊於重構程式碼所會涉入的複雜性之中。」－－威斯康辛大學史蒂芬斯角分校／Steven Suehring教授如果你的JavaScript程式碼是一團亂，那麼各種框架對你的幫助也實在有限。不管你使用什麼框架、編譯至JavaScript的語言或是函式庫，如果你的JavaScript品質堪憂，那臭蟲跟效能問題依舊無法被緩解。跟隨這本實務性的指南，你將學習到如何透過測試與重構程式碼來減少複雜度及增加可讀性，並且從現有的程式庫（codebase）取得信心。作者Evan Burchard將為你展示如何識別出不良的程式碼，並帶你見識數種重構的方法來對它們進行改良，這些技巧從最簡單的重命名變數一直到引入函數式與物件導向程式設計。如果你渴望寫出更優秀的JavaScript程式碼（不管是前端還是後端），一定會需要這本書。●在不改變程式碼行為的前提下，利用重構來重新組織程式碼●理解重構與程式碼品質之間的關係●探索現今使用的各種JavaScript版本●建立自動化測試來確認程式碼正確，並找到那些被忽略的臭蟲●學習如何重構簡單的JavaScript結構、函式、物件●引入物件導向與函數式程式設計來重構你的代碼庫●研究重構異步JavaScript的方法
9789864767885,"深入探討ES6規格與JavaScript的未來發展「《現代JavaScript實務應用》一書，帶給你大量的新語法和語義，可讓你的程式碼在表達上更具敘述性。Nicolás化繁為簡，用簡單的範例說明複雜的新功能觀念，這真是令人驚艷，也讓你能夠快速上手。」－－Kent C. DoddsPapal, TC39想要深入瞭解現代JavaScript，你必須學習它繼承的原始技術規格，也就是ESMAScript 6(ES6)。本書以實務角度探討ES6，且不遺漏技術規格的說明和實作細節的技巧。搭配實務範例，作者Nicolás Bevacque指導你用新的方法處理非同步流程、宣告物件或函式、建立代理器或集合，以及許多其他的特徵功能。本書是《模組化JavaScript系列》叢書的第一本書，《現代JavaScript實務應用》一書為JavaScript和Node.js開發人員準備了模組化功能設計的課程內容，而功能測試、設計和部署則會在本系列叢書的後續作品中探討。本書內容包含：●JavaScript及其標準發展流程如何演進●重要的ES6變更調整，包含箭頭函式、解構賦值、let和const●宣告物件原型的類別語法以及新的Symbol基礎元件●如何用Promise、迭代器、產生器和非同步函式處理流程控制●運用ES6集合的內建型別建立物件映射和唯一資料集●運用內建功能Proxy和反射的時機和方法●自ES5以來對Array、Math、numbers、strings、Unicode、正規表示式及其他功能的改善"
9789864342525,JavaScript 已迅速地成為幾乎所有應用領域的通用語言，無論是在網路、雲端、桌面甚或是行動裝置上，都有其身影。在如此龐大的需求下，開發者不應只滿足於現存的知識，而是需提昇至猶如 JavaScript 忍者的境界，才能在各種變化多端又難以預測的現實任務中化險為夷、游刃有餘。由多位 JavaScript 專家編寫而成，本書透過實務性的範例，清晰地描繪出每一項至關重要的 JavaScript 核心觀念與技巧。引領你重溫許多常用、但卻未必精通的 JavaScript 機制，例如函式（function）、閉包（closure）、物件（object）、原型（prototype）及約定（promise）等。此外本書也涵蓋了用於處理 DOM、事件與計時器的相關 API，以及關於軟體測試與跨瀏覽器開發的最佳解決方案。◎善用函式、物件及閉包，撰寫出更高效的程式碼。◎認知並防範 JavaScript 應用程式的常見陷阱。◎利用正規表達式，實現簡潔而又精確的文字處理任務。◎透過約定來管理非同步程式。◎適用於最新的 JavaScript 標準：ECMAScript 6 及 7。
